chsa,chsa_population_census,pha,shelt_rent_n_households,shelt_rent_subsidized_rate,shelt_rent_30plus_rate,shelt_rent_mo_cost_mean,shelt_rent_mo_cost_median,income_total_mean,income_total_median,income_after_tax_mean,income_after_tax_median
Smithers Town Centre,6209,Northern,735,6.8,36.3,897,849,46708,37377,39375,33247
Smithers Rural,7175,Northern,255,0,21.6,814,765,45698,34929,38667,31709
Houston,3489,Northern,355,5.6,31.9,746,700,49703,37856,41298,33192
Dawson Creek,12323,Northern,1985,8.8,38.4,1120,1061,50112,40458,41770,36006
Chetwynd,2297,Northern,315,19,33.3,952,902,53167,37896,43652,34437
Kitimat,9162,Northern,715,8.3,34,1041,1000,54907,43012,44253,37695
Stikine,944,Northern,135,28.6,10.7,676,629,43970,35879,38141,33642
Terrace City Centre,12327,Northern,1425,17.8,35.1,913,900,46668,36723,39395,33019
Terrace Rural,8456,Northern,600,9.2,29.2,924,842,40639,32521,34547,29421
Quesnel City Centre,13414,Northern,1615,14.9,40.9,740,714,42659,30539,35782,27847
Quesnel Rural,9791,Northern,705,5,27.7,732,701,42081,31091,35491,28696
Burns Lake Town Centre,2235,Northern,275,29.1,25.5,776,747,37679,29721,32647,26917
Burns Lake South,1571,Northern,70,0,26.7,609,650,40035,31177,34581,28720
Burns Lake North,2267,Northern,105,0,20,709,703,43003,32494,36149,29588
Vanderhoof,4346,Northern,495,13.3,28.6,781,749,46755,36571,39375,33212
Vanderhoof Rural,3856,Northern,150,0,32.1,786,802,42083,29962,35728,28123
Fort St. James North,4185,Northern,275,0,12.7,894,851,45285,33009,38146,30861
Fraser Lake,2998,Northern,205,14.6,31.7,770,775,44301,31728,36990,28791
Prince George City - North,17555,Northern,845,7.1,30,1003,932,54559,43220,44708,38135
Prince George City - Central,42057,Northern,7860,13.6,41.8,904,850,41160,33325,35107,29962
Prince George City - Southwest,17180,Northern,730,7.5,26,1098,1009,55231,45154,45423,39867
Prince George Southwest Rural,8055,Northern,210,0,21.4,859,760,57015,40038,46304,35422
Prince George North Fraser Rural,5479,Northern,145,0,31,719,704,54989,41790,44571,36763
McBride,1606,Northern,330,19.7,34.8,688,657,36127,24852,31105,23888
Mackenzie,3895,Northern,355,14.3,18.6,979,1027,50863,41985,42513,37483
Interurban/Tillicum,30005,Vancouver Island,3720,18.1,39.1,1122,1049,42955,36439,36569,32516
View Royal,11984,Vancouver Island,1170,10.7,34.8,1217,1174,49816,42333,41721,36830
Esquimalt,19492,Vancouver Island,4350,13.3,44,1043,936,41437,34720,35304,31211
Colwood,18961,Vancouver Island,1735,15.3,29,1201,1150,50460,41716,41949,36674
Metchosin,5288,Vancouver Island,395,0,29.5,1090,1045,48069,41368,40392,36321
Langford North/Highlands,14531,Vancouver Island,4430,7,39.7,1246,1202,46871,40613,39307,35747
Sooke,17133,Vancouver Island,1250,8.4,46.4,1124,1099,43292,34570,36606,31175
Juan de Fuca Coast,3380,Vancouver Island,210,0,39,896,865,48453,31777,39939,28221
Royal Oak/Cordova Bay/Prospect,22907,Vancouver Island,1535,15.3,39.2,1207,1053,56601,43695,46254,38386
Central Saanich,19887,Vancouver Island,1395,9.3,45,1187,1018,49745,38428,41209,34479
North Saanich,12610,Vancouver Island,575,7.8,36,1212,1003,65855,44764,52981,39130
Sidney,12318,Vancouver Island,1355,6.6,47.2,1208,1109,44601,36824,37805,32892
Salt Spring Island,11635,Vancouver Island,1150,11.8,53.7,1007,973,41329,29387,34878,26902
Pender/Galiano/Saturna/Mayne,6101,Vancouver Island,355,8.5,45.1,763,779,43216,30357,36284,27642
South Cowichan,18409,Vancouver Island,1010,5,36.1,1083,1039,47935,37824,39781,33651
Central Cowichan,43307,Vancouver Island,4415,12.1,46.1,933,865,40333,30349,34555,27807
Cowichan Valley West,6750,Vancouver Island,700,8.6,49.6,825,804,36127,28115,31343,25898
Ladysmith,8995,Vancouver Island,715,14.6,37.8,949,915,42965,34055,36528,31141
Chemainus,6552,Vancouver Island,535,10.4,46.7,911,881,40636,32336,34418,29119
Penelakut and Thetis Islands,1019,Vancouver Island,25,0,0,0,0,24754,18967,22623,18047
Downtown Nanaimo,21553,Vancouver Island,5160,16.8,53.3,871,828,34323,26017,29745,24028
Departure Bay,28093,Vancouver Island,3685,8.4,43.8,1035,974,41247,33869,35363,30657
Tumbler Ridge,2399,Northern,205,22,34.1,868,901,49164,36223,40654,32819
Peace River South Rural,8616,Northern,455,6.7,23.3,898,926,56781,41783,45910,36736
Fort St John,21465,Northern,3105,8.9,29.3,1275,1205,60186,48972,48746,42439
Hudson's Hope,841,Northern,95,30,35,1062,1011,48522,33836,40288,30434
Peace River North Rural,13120,Northern,590,5.1,14.5,1102,1017,61664,43610,48893,38949
Fort Nelson Population Centre,2921,Northern,540,12,30.8,975,947,57995,43909,48057,39415
Northern Boreal,1676,Northern,25,0,0,958,973,51261,31021,43105,30017
Ladysmith Rural,3981,Vancouver Island,190,0,35.9,895,844,39705,29313,33808,26803
